Time,G1 - Min,G1 - Max,G1 - Cost
20/01/2019 11.00,0,1600,0.0547
20/01/2019 12.00,0,1600,0.05417
20/01/2019 13.00,0,1600,0.05371
20/01/2019 14.00,0,1600,0.05404
20/01/2019 15.00,0,1600,0.05539
20/01/2019 16.00,0,1600,0.05802
20/01/2019 17.00,0,1600,0.06508
20/01/2019 18.00,0,1600,0.06777
20/01/2019 19.00,0,1600,0.06362
20/01/2019 20.00,0,1600,0.05982
20/01/2019 21.00,0,1600,0.05737
20/01/2019 22.00,0,1600,0.05701
20/01/2019 23.00,0,1600,0.05462
21/01/2019 00.00,0,1600,0.05494
21/01/2019 01.00,0,1600,0.0531
21/01/2019 02.00,0,1600,0.0521
21/01/2019 03.00,0,1600,0.05183
21/01/2019 04.00,0,1600,0.05271
21/01/2019 05.00,0,1600,0.05505
21/01/2019 06.00,0,1600,0.06533
21/01/2019 07.00,0,1600,0.07771
21/01/2019 08.00,0,1600,0.08595
21/01/2019 09.00,0,1600,0.08395
21/01/2019 10.00,0,1600,0.07825
21/01/2019 11.00,0,1600,0.075
21/01/2019 12.00,0,1600,0.07065
21/01/2019 13.00,0,1600,0.07156
21/01/2019 14.00,0,1600,0.07031
21/01/2019 15.00,0,1600,0.07465
21/01/2019 16.00,0,1600,0.08108
21/01/2019 17.00,0,1600,0.08835
21/01/2019 18.00,0,1600,0.08837
21/01/2019 19.00,0,1600,0.07801
21/01/2019 20.00,0,1600,0.0688
21/01/2019 21.00,0,1600,0.0616
21/01/2019 22.00,0,1600,0.05794
21/01/2019 23.00,0,1600,0.05493
22/01/2019 00.00,0,1600,0.05464
22/01/2019 01.00,0,1600,0.05405
22/01/2019 02.00,0,1600,0.05352
22/01/2019 03.00,0,1600,0.05248
22/01/2019 04.00,0,1600,0.05344
22/01/2019 05.00,0,1600,0.05517
22/01/2019 06.00,0,1600,0.06233
22/01/2019 07.00,0,1600,0.07391
22/01/2019 08.00,0,1600,0.08023
22/01/2019 09.00,0,1600,0.0766
22/01/2019 10.00,0,1600,0.07419
22/01/2019 11.00,0,1600,0.07006
22/01/2019 12.00,0,1600,0.06207
22/01/2019 13.00,0,1600,0.05885
22/01/2019 14.00,0,1600,0.05969
22/01/2019 15.00,0,1600,0.06509
22/01/2019 16.00,0,1600,0.07021
22/01/2019 17.00,0,1600,0.0788
22/01/2019 18.00,0,1600,0.07413
22/01/2019 19.00,0,1600,0.0601
22/01/2019 20.00,0,1600,0.05694
22/01/2019 21.00,0,1600,0.05538
22/01/2019 22.00,0,1600,0.05523
22/01/2019 23.00,0,1600,0.0533
23/01/2019 00.00,0,1600,0.0532
23/01/2019 01.00,0,1600,0.05262
23/01/2019 02.00,0,1600,0.05214
23/01/2019 03.00,0,1600,0.05119
23/01/2019 04.00,0,1600,0.05207
23/01/2019 05.00,0,1600,0.05568
23/01/2019 06.00,0,1600,0.06243
23/01/2019 07.00,0,1600,0.07948
