Time,W1 - Min,W1 - Max,W1 - Cost
20/01/2019 09.00,0,61,0
20/01/2019 10.00,0,59.2,0
20/01/2019 11.00,0,61.233,0
20/01/2019 12.00,0,62.238,0
20/01/2019 13.00,0,67.132,0
20/01/2019 14.00,0,82.036,0
20/01/2019 15.00,0,92.961,0
20/01/2019 16.00,0,101.483,0
20/01/2019 17.00,0,109.643,0
20/01/2019 18.00,0,117.293,0
20/01/2019 19.00,0,129.53,0
20/01/2019 20.00,0,143.374,0
20/01/2019 21.00,0,161.768,0
20/01/2019 22.00,0,177.517,0
20/01/2019 23.00,0,195.516,0
21/01/2019 00.00,0,214.219,0
21/01/2019 01.00,0,240.642,0
21/01/2019 02.00,0,263.743,0
21/01/2019 03.00,0,291.496,0
21/01/2019 04.00,0,310.048,0
21/01/2019 05.00,0,326.204,0
21/01/2019 06.00,0,317.727,0
21/01/2019 07.00,0,294.822,0
21/01/2019 08.00,0,264.446,0
21/01/2019 09.00,0,246.493,0
21/01/2019 10.00,0,250.358,0
21/01/2019 11.00,0,242.873,0
21/01/2019 12.00,0,237.972,0
21/01/2019 13.00,0,242.941,0
21/01/2019 14.00,0,259.478,0
21/01/2019 15.00,0,250.36,0
21/01/2019 16.00,0,224.136,0
21/01/2019 17.00,0,184.652,0
21/01/2019 18.00,0,145.675,0
21/01/2019 19.00,0,108.599,0
21/01/2019 20.00,0,76.793,0
21/01/2019 21.00,0,56.141,0
21/01/2019 22.00,0,44.937,0
21/01/2019 23.00,0,38.366,0
22/01/2019 00.00,0,35.32,0
22/01/2019 01.00,0,39.719,0
22/01/2019 02.00,0,51.09,0
22/01/2019 03.00,0,60.571,0
22/01/2019 04.00,0,70.027,0
22/01/2019 05.00,0,80.719,0
22/01/2019 06.00,0,95.837,0
22/01/2019 07.00,0,106.919,0
22/01/2019 08.00,0,120.883,0
22/01/2019 09.00,0,141.588,0
22/01/2019 10.00,0,168.382,0
22/01/2019 11.00,0,195.525,0
22/01/2019 12.00,0,217.092,0
22/01/2019 13.00,0,224.71,0
22/01/2019 14.00,0,245.084,0
22/01/2019 15.00,0,268.529,0
22/01/2019 16.00,0,285.555,0
22/01/2019 17.00,0,293.243,0
22/01/2019 18.00,0,296.676,0
22/01/2019 19.00,0,298.023,0
22/01/2019 20.00,0,296.605,0
22/01/2019 21.00,0,293.138,0
22/01/2019 22.00,0,285.556,0
22/01/2019 23.00,0,274.95,0
23/01/2019 00.00,0,262.285,0
23/01/2019 01.00,0,250.27,0
23/01/2019 02.00,0,237.715,0
23/01/2019 03.00,0,236.682,0
23/01/2019 04.00,0,245.548,0
23/01/2019 05.00,0,252.019,0
23/01/2019 06.00,0,252.604,0
23/01/2019 07.00,0,251.14,0
23/01/2019 08.00,0,250.333,0
23/01/2019 09.00,0,231.854,0
23/01/2019 10.00,0,208.107,0
23/01/2019 11.00,0,185.418,0
23/01/2019 12.00,0,170.307,0
23/01/2019 13.00,0,163.851,0
23/01/2019 14.00,0,162.285,0
23/01/2019 15.00,0,172.874,0
23/01/2019 16.00,0,180.809,0
23/01/2019 17.00,0,176.184,0
23/01/2019 18.00,0,166.872,0
23/01/2019 19.00,0,161.301,0
23/01/2019 20.00,0,161.309,0
23/01/2019 21.00,0,170.654,0
23/01/2019 22.00,0,177.513,0
23/01/2019 23.00,0,173.387,0
24/01/2019 00.00,0,162.585,0
24/01/2019 01.00,0,150.062,0
24/01/2019 02.00,0,141.539,0
24/01/2019 03.00,0,137.506,0
24/01/2019 04.00,0,139.507,0
24/01/2019 05.00,0,137.42,0
24/01/2019 06.00,0,132.021,0
24/01/2019 07.00,0,130.897,0
24/01/2019 08.00,0,128.592,0
24/01/2019 09.00,0,121.736,0
24/01/2019 10.00,0,110.328,0
24/01/2019 11.00,0,90.38,0
24/01/2019 12.00,0,68.819,0
24/01/2019 13.00,0,50.937,0
24/01/2019 14.00,0,39.839,0
24/01/2019 15.00,0,36.812,0
24/01/2019 16.00,0,38.755,0
24/01/2019 17.00,0,38.505,0
24/01/2019 18.00,0,33.962,0
24/01/2019 19.00,0,25.483,0
24/01/2019 20.00,0,17.007,0
24/01/2019 21.00,0,10.518,0
24/01/2019 22.00,0,7.072,0
24/01/2019 23.00,0,6.052,0
25/01/2019 00.00,0,4.603,0
25/01/2019 01.00,0,3.835,0
25/01/2019 02.00,0,3.5,0
25/01/2019 03.00,0,3.749,0
25/01/2019 04.00,0,4.93,0
25/01/2019 05.00,0,7.355,0
25/01/2019 06.00,0,10.783,0
25/01/2019 07.00,0,12.636,0
25/01/2019 08.00,0,15.508,0
25/01/2019 09.00,0,22.529,0
25/01/2019 10.00,0,33.236,0
25/01/2019 11.00,0,44.234,0
25/01/2019 12.00,0,57.462,0
25/01/2019 13.00,0,76.852,0
25/01/2019 14.00,0,103.366,0
25/01/2019 15.00,0,126.336,0
25/01/2019 16.00,0,144.462,0
25/01/2019 17.00,0,162.037,0
25/01/2019 18.00,0,183.775,0
25/01/2019 19.00,0,206.377,0
25/01/2019 20.00,0,237.041,0
25/01/2019 21.00,0,248.988,0
25/01/2019 22.00,0,245.545,0
25/01/2019 23.00,0,226.95,0
26/01/2019 00.00,0,195.523,0
26/01/2019 01.00,0,155.602,0
26/01/2019 02.00,0,116.276,0
26/01/2019 03.00,0,85.113,0
26/01/2019 04.00,0,73.318,0
26/01/2019 05.00,0,71.616,0
26/01/2019 06.00,0,74.061,0
26/01/2019 07.00,0,72.092,0
26/01/2019 08.00,0,69.005,0
26/01/2019 09.00,0,62.222,0
26/01/2019 10.00,0,55.813,0
26/01/2019 11.00,0,51.79,0
26/01/2019 12.00,0,50.39,0
26/01/2019 13.00,0,48.491,0
26/01/2019 14.00,0,49.62,0
26/01/2019 15.00,0,51.544,0
26/01/2019 16.00,0,54.308,0
26/01/2019 17.00,0,70.345,0
26/01/2019 18.00,0,112.62,0
26/01/2019 19.00,0,164.627,0
26/01/2019 20.00,0,206.369,0
26/01/2019 21.00,0,232.644,0
26/01/2019 22.00,0,248.988,0
26/01/2019 23.00,0,257.231,0
27/01/2019 00.00,0,253.785,0
27/01/2019 01.00,0,249.774,0
27/01/2019 02.00,0,242.106,0
27/01/2019 03.00,0,247.353,0
27/01/2019 04.00,0,248.989,0
27/01/2019 05.00,0,259.265,0
27/01/2019 06.00,0,267.724,0
27/01/2019 07.00,0,268.787,0
27/01/2019 08.00,0,252.425,0
27/01/2019 09.00,0,223.502,0
27/01/2019 10.00,0,183.649,0
27/01/2019 11.00,0,159.361,0
27/01/2019 12.00,0,139.216,0
27/01/2019 13.00,0,131.763,0
27/01/2019 14.00,0,132.316,0
27/01/2019 15.00,0,142.3,0
27/01/2019 16.00,0,147.624,0
27/01/2019 17.00,0,142.812,0
27/01/2019 18.00,0,124.345,0
27/01/2019 19.00,0,97.524,0
27/01/2019 20.00,0,70.972,0
27/01/2019 21.00,0,49.4,0
27/01/2019 22.00,0,34.165,0
27/01/2019 23.00,0,26.759,0
28/01/2019 00.00,0,26.678,0
28/01/2019 01.00,0,32.845,0
28/01/2019 02.00,0,40.743,0
28/01/2019 03.00,0,47.999,0
28/01/2019 04.00,0,57.641,0
28/01/2019 05.00,0,75.582,0
28/01/2019 06.00,0,83.579,0
28/01/2019 07.00,0,77.055,0
28/01/2019 08.00,0,63.645,0
28/01/2019 09.00,0,53.062,0
28/01/2019 10.00,0,48.022,0
28/01/2019 11.00,0,49.339,0
28/01/2019 12.00,0,59.582,0
28/01/2019 13.00,0,85.911,0
28/01/2019 14.00,0,137.196,0
28/01/2019 15.00,0,180.781,0
28/01/2019 16.00,0,206.37,0
28/01/2019 17.00,0,220.758,0
28/01/2019 18.00,0,236.02,0
28/01/2019 19.00,0,245.593,0
28/01/2019 20.00,0,260.457,0
28/01/2019 21.00,0,253.811,0
28/01/2019 22.00,0,234.635,0
28/01/2019 23.00,0,202.317,0
29/01/2019 00.00,0,167.079,0
29/01/2019 01.00,0,137.959,0
29/01/2019 02.00,0,116.468,0
29/01/2019 03.00,0,103.458,0
29/01/2019 04.00,0,100.959,0
29/01/2019 05.00,0,100.705,0
29/01/2019 06.00,0,105.492,0
29/01/2019 07.00,0,115.353,0
29/01/2019 08.00,0,119.054,0
29/01/2019 09.00,0,107.092,0
29/01/2019 10.00,0,101.55,0
29/01/2019 11.00,0,100.727,0
29/01/2019 12.00,0,113.823,0
29/01/2019 13.00,0,104.388,0
29/01/2019 14.00,0,125.191,0
29/01/2019 15.00,0,157.435,0
29/01/2019 16.00,0,174.202,0
29/01/2019 17.00,0,171.386,0
29/01/2019 18.00,0,174.793,0
29/01/2019 19.00,0,186.649,0
29/01/2019 20.00,0,173.64,0
29/01/2019 21.00,0,167.071,0
29/01/2019 22.00,0,168.375,0
29/01/2019 23.00,0,151.363,0
30/01/2019 00.00,0,137.186,0
30/01/2019 01.00,0,124.339,0
30/01/2019 02.00,0,113.618,0
30/01/2019 03.00,0,118.604,0
30/01/2019 04.00,0,137.187,0
30/01/2019 05.00,0,156.782,0
30/01/2019 06.00,0,186.789,0
30/01/2019 07.00,0,210.904,0
30/01/2019 08.00,0,214.848,0
30/01/2019 09.00,0,212.879,0
30/01/2019 10.00,0,206.971,0
30/01/2019 11.00,0,209.782,0
30/01/2019 12.00,0,211.152,0
30/01/2019 13.00,0,229.589,0
30/01/2019 14.00,0,268.204,0
30/01/2019 15.00,0,303.817,0
30/01/2019 16.00,0,313.935,0
30/01/2019 17.00,0,320.801,0
30/01/2019 18.00,0,334.092,0
30/01/2019 19.00,0,348.507,0
30/01/2019 20.00,0,360.097,0
30/01/2019 21.00,0,365.686,0
30/01/2019 22.00,0,367.867,0
30/01/2019 23.00,0,372.309,0
31/01/2019 00.00,0,368.031,0
31/01/2019 01.00,0,363.532,0
31/01/2019 02.00,0,358.524,0
31/01/2019 03.00,0,348.919,0
31/01/2019 04.00,0,338.766,0
31/01/2019 05.00,0,325.665,0
31/01/2019 06.00,0,307.224,0
31/01/2019 07.00,0,291.496,0
31/01/2019 08.00,0,270.75,0
31/01/2019 09.00,0,238.654,0
